Kalimat,Tingkat Pemahaman
"Typhon, dalam mitologi Yunani, putra bungsu Gaea (Bumi) dan Tartarus (dunia bawah).",Berkembang Sedang
Dia digambarkan sebagai monster mengerikan dengan kepala seratus naga yang ditaklukkan dan dilemparkan ke dunia bawah oleh Zeus.,Sudah Mahir
"Dalam catatan lain, dia dikurung di tanah Arimi di Kilikia atau di bawah Gunung Etna atau di wilayah vulkanik lainnya, di mana dialah penyebab letusannya.",Berkembang Sedang
Typhon dengan demikian adalah personifikasi kekuatan vulkanik.,Berkembang Sedang
"Di antara anak-anaknya dari istrinya, Echidna, adalah Cerberus, anjing neraka berkepala tiga, Lernean Hydra berkepala banyak, dan Chimera.",Berkembang Sedang
"Ia juga merupakan bapak angin berbahaya (topan), dan oleh para penulis selanjutnya ia diidentifikasikan dengan dewa Mesir, Seth.",Berkembang Sedang
"Pengadukan lautan susu, dalam agama Hindu, salah satu peristiwa sentral dalam perjuangan yang terus berlanjut antara dewa (dewa) dan asura (setan, atau titan).",Sudah Mahir
"Para dewa, yang menjadi lemah akibat kutukan dari Durvasas bijak yang pemarah, mengundang para asura untuk membantu mereka memulihkan ramuan keabadian, theamrita, dari kedalaman lautan kosmik.",Sudah Mahir
"Gunung Mandara—pacu Gunung Meru, poros dunia—dicabut untuk digunakan sebagai tongkat pengaduk dan distabilkan di dasar lautan oleh Wisnu dalam avatarnya (inkarnasi) sebagai kura-kura Kurma.",Sudah Mahir
"Para asura memegang kepala naga (setengah manusia, setengah kobra) Vasuki, yang diperoleh dengan tali pengaduk, dan para dewa memegang ekornya.",Sudah Mahir
"Ketika kepala Vasuki memuntahkan racun yang mengancam akan jatuh ke laut dan mencemari amrita, dewa Siwa mengambilnya dan menahannya di tenggorokannya, suatu prestasi yang membuat tenggorokannya membiru.",Sudah Mahir
"Dalam pusaran lautan banyak harta karun indah yang menjadi prototipe harta benda duniawi dan surgawi dibawa dari kedalaman, yaitu Chandra, bulan, parijata, pohon yang indah dan harum yang sekarang ditanam di Indra surga, gajah bergading empat Airavata, gunung Indra, Kamadhenu, sapi berlimpah, Madira, dewi anggur, yang menjadi Varuni, istri Varuna, Kalpavriksha, sang pohon pengabul harapan, bidadari (penari kahyangan), kuda surgawi Uccaihshravas, dewi Laksmi yang menjadi istri Wisnu, Panchajanya, keong Wisnu, gada Wisnu dan busur ajaib, erbagai permata, dan Dhanvantari, tabib para dewa, yang bangkit dari air sambil membawa harta tertinggi, amrita.",Sudah Mahir
"Ketika amrita muncul, para dewa dan asura berebut kepemilikannya, meski awalnya mereka sepakat untuk membaginya secara merata.",Sudah Mahir
"Setelah banyak petualangan, akhirnya dikonsumsi oleh para dewa, yang kemudian dipulihkan kekuatannya.",Sudah Mahir
"Ogre, raksasa mengerikan yang digambarkan dalam dongeng dan cerita rakyat sedang memakan manusia.",Sudah Mahir
"Kata ini mendapatkan popularitas dari penggunaannya pada akhir abad ke 17 oleh Charles Perrault , penulis Kisah Ibu Angsa.",Belum Berkembang
"Sejak itu, ogre telah muncul di banyak karya, termasuk Tom Thumb; Hansel and Gretel, dimana penyihir tersebut merupakan tipe ogre karena berniat memakan anak-anak; Dan Gadis Bertudung Merah, yang mana serigalanya menyerupai raksasa.",Sudah Mahir
Cyclops dalam mitos dan literatur heroik yang melahap manusia adalah salah satu wujud ogre.,Sudah Mahir
"Gagasan tentang ogre juga dapat dilihat, secara lebih luas, dalam pengertian metaforis dalam sastra.",Belum Berkembang
"Penggoda yang melahap korbannya dalam arti seksual adalah sejenis raksasa, seperti halnya seorang tiran politik atau diktator yang mengendalikan dan mengeksploitasi orang lain dan dalam arti tertentu menelan mereka.",Sudah Mahir
Sang diktator merenggut banyak nyawa dengan menyebarkan perang dan tindakan brutal seperti yang dilakukan oleh rezim Nazi.,Sudah Mahir
"Lethe, dalam bahasa Yunani itu Oblivion, dalam mitologi Yunani , putri Eris (Strife) dan personifikasi pelupaan.",Berkembang Sedang
Lethe juga merupakan nama sungai atau dataran di alam neraka.,Berkembang Sedang
"Di dalam Orphism , sebuah gerakan keagamaan mistik Yunani, diyakini bahwa orang yang baru meninggal yang minum dari Sungai Lethe akan kehilangan semua ingatan akan keberadaan masa lalu mereka.",Sudah Mahir
"Para inisiat diajarkan untuk mencari sungai kenangan, Mnemosyne, dengan demikian mengamankan akhir dari transmigrasi jiwa.",Sudah Mahir
"Di oracle Trophonius dekat Lebadeia (modern Levadhia, Yunani), yang dianggap sebagai pintu masuk ke dunia bawah, ada dua mata air yang disebut Lethe dan Mnemosyne.",Sudah Mahir
Dalam karya Aristophanes disebutkan dataran Lethe.,Belum Berkembang
"Dalam Buku X The Republic karya Plato, jiwa orang mati harus minum dari “sungai Ketidakpedulian” sebelum dilahirkan kembali.",Sudah Mahir
"Dalam karya penyair Latin, Lethe adalah salah satu dari lima sungai di dunia bawah.",Belum Berkembang
"Poseidon, dalam agama Yunani kuno, dewa laut dan air pada umumnya, gempa bumi, dan kuda.",Berkembang Sedang
"Dia dibedakan dari Pontus, personifikasi laut dan dewa perairan Yunani tertua.",Berkembang Sedang
Nama Poseidon berarti suami bumi atau penguasa bumi.,Berkembang Sedang
"Secara tradisional, ia adalah putra Cronus (yang bungsu dari 12 Titan ) dan saudara perempuan Cronus serta permaisuri Rhea, seorang dewi kesuburan.",Berkembang Sedang
"Poseidon adalah saudara laki-laki Zeus, dewa langit dan dewa utama Yunani kuno, dan Hades, dewa dunia bawah.",Berkembang Sedang
"Ketika ketiga bersaudara itu menggulingkan ayah mereka, kerajaan laut jatuh ke tangan Poseidon.",Sudah Mahir
"Senjata dan simbol utamanya adalah trisula, mungkin dulunya adalah tombak ikan.",Berkembang Sedang
"Menurut penyair Yunani Hesiod, trisula Poseidon, seperti petir Zeus dan helm Hades, dibuat oleh ketiga Cyclopes .",Berkembang Sedang
"Sebagai dewa gempa bumi, Poseidon juga dikaitkan dengan tanah kering, dan banyak tempat ibadah tertua di Yunani berada di pedalaman, meskipun kadang-kadang berpusat di kolam dan sungai atau berhubungan dengan air.",Sudah Mahir
"Dalam aspek ini, ia dikenal sebagai enosichthon dan ennosigaios (“pengguncang bumi”) dan dipuja sebagai asphalios (“penstabil”).",Berkembang Sedang
"Sebagai dewa kuda, Poseidon diperkirakan telah diperkenalkan ke Yunani oleh bangsa Hellenes paling awal, yang juga memperkenalkan kuda pertama ke negara tersebut sekitar abad ke-2 SM.",Sudah Mahir
"Poseidon sendiri adalah ayah dari banyak kuda, yang paling terkenal adalah kuda bersayap Pegasus dari Gorgon Medusa.",Sudah Mahir
Poseidon terlibat konflik dengan berbagai tokoh dalam sengketa pertanahan.,Berkembang Sedang
"Yang menonjol di antaranya adalah perebutan kedaulatan atas Attica, yang dikalahkan oleh dewi Athena.",Sudah Mahir
"Meski kalah, Poseidon juga dipuja di sana, khususnya di Colonus (sebagai hippios, “kuda”).",Belum Berkembang
Keturunan Poseidon sangat banyak sekali.,Belum Berkembang
"Dia adalah ayah Pelias dan Neleus dari Tyro, putri Salmoneus, dan dengan demikian menjadi leluhur ilahi keluarga kerajaan Thessaly dan Messenia.",Berkembang Sedang
Banyak putranya menjadi penguasa di belahan lain dunia Yunani kuno.,Berkembang Sedang
"Kalau tidak, ia memiliki banyak keturunan mengerikan, termasuk raksasa dan makhluk buas, seperti Orion, Antaeus, dan Polyphemus.",Sudah Mahir
"Nenek moyang banyak orang, dengan beberapa permaisuri, Poseidon juga menikah dengan Oceanid Amphitrite, dengan siapa ia juga memiliki banyak keturunan, termasuk makhluk laut Triton.",Belum Berkembang
"Festival utama untuk menghormati Poseidon adalahIsthmia, tempat pertandingan atletik terkenal (termasuk pacuan kuda), dirayakan pada tahun-tahun bergantian di dekat Tanah Genting Korintus.",Sudah Mahir
"Karakternya sebagai dewa laut akhirnya menjadi yang paling menonjol dalam seni, dan ia diwakili dengan atribut trisula, lumba-lumba , dan tuna.",Sudah Mahir
"Bangsa Romawi, mengabaikan aspek lainnya, mengidentifikasikannya dengan Neptunus sebagai dewa laut.",Berkembang Sedang
"Orion, dalam mitologi Yunani, seorang pemburu raksasa dan sangat tampan yang diidentifikasi sejak awal Homer dengan konstelasi yang dikenal dengan namanya.",Sudah Mahir
Kisah Orion memiliki banyak versi berbeda.,Belum Berkembang
"Ia dianggap Boeotian berdasarkan kelahiran, lahir (menurut legenda akhir) di bumi (dari kulit banteng yang terkubur tempat tiga dewa buang air kecil).",Sudah Mahir
Beberapa legenda menyebutkan dia sebagai putra Poseidon.,Berkembang Sedang
"Dia dikaitkan dengan pulau Chios, tempat ia dikatakan mengusir binatang buas.",Berkembang Sedang
"Di sana ia jatuh cinta pada Merope, putri raja Chios, Oenopion.",Berkembang Sedang
"Raja, yang tidak menyetujui Orion dan terus menunda pernikahan dan akhirnya membutakan Orion.",Sudah Mahir
"Penglihatannya dipulihkan oleh sinar matahari terbit, Orion dikatakan telah pergi ke Kreta untuk tinggal bersamanyaArtemis sebagai pemburu.",Sudah Mahir
"Kisah kematiannya sangat bervariasi, beberapa legenda menyebutkan dia dibunuh oleh Artemis karena mencoba memperkosanya, yang lain karena kecemburuan Apollo atas cinta Artemis pada Orion ; masih ada legenda lain yang mengatakan dia dibunuh oleh kalajengking yang mengerikan.",Sudah Mahir
"Setelah kematiannya dia ditempatkan di antara bintang-bintang, dan dia dapat diidentifikasi (agak aneh) dengan tongkatnya, kulit singa, ikat pinggang (atau ikat pinggang), dan pedangnya.",Sudah Mahir
"Di langit dia mengejar Pleiades dan dirinya dikejar oleh Scorpio, sang kalajengking.",Berkembang Sedang
"Troilus, pangeran Troya dalam mitologi Yunani, putra Raja Priam dan Ratu Hecuba dari Troy.",Berkembang Sedang
Telah dinubuatkan bahwa Troy tidak akan pernah jatuh jika Troilus mencapai usia 20 tahun.,Sudah Mahir
"Ketika Troilus masih kecil, Achilles menyergapnya saat dia sedang minum dari air mancur dan membunuhnya.",Sudah Mahir
"Adiknya, Polyxena, akhirnya juga meninggal karena Achilles.",Berkembang Sedang
"Dalam penanganan kisah Troya pada abad pertengahan, Troilus digambarkan sebagai perwujudan seorang kekasih muda lugu yang dikhianati oleh seorang gadis berubah-ubah yang meninggalkannya demi pahlawan Yunani Diomedes.",Sudah Mahir
Kisah tentang hasrat Troilus yang tidak bahagia ini tampaknya diciptakan pada awal abad ke-12 oleh Benoît de Sainte-Maure dalam puisi Roman de Troie.,Sudah Mahir
"Benoît memanggil gadis itu Briseida, sebuah nama yang kemudian diubah oleh penulis lain menjadi Cressida.",Sudah Mahir
"Abad ke 14 menyaksikan dua perlakuan penting terhadap tema Troilus dan Cressida, puisi Il filostrato karya Giovanni Boccaccio (berasal dari Benoît dan dari Historia destroyis Troiae karya Guido delle Colonne) dan Troilus dan Criseyde karya Geoffrey Chaucer (terutama berdasarkan Boccaccio).",Berkembang Sedang
"Kisah mereka juga menjadi subjek drama Shakespeare, Troilus dan Cressida.",Berkembang Sedang
"Hylas, dalam legenda Yunani kuno, putra Theiodamas (raja Dryopians di Thessaly), favorit dan pendamping Heracles dalam ekspedisi Argonautik.",Berkembang Sedang
"Setelah pergi ke darat di Cios di Misia untuk mengambil air, dia diseret oleh peri mata air tempat dia mencelupkan kendinya.",Sudah Mahir
"Heracles mencarinya dengan sia-sia; setelah itu, untuk mengenang ancaman Heracles yang akan menghancurkan wilayah tersebut jika Hylas tidak ditemukan, penduduk Cios setiap tahun pada hari tertentu berkeliaran di pegunungan sambil berteriak keras memanggil Hylas.",Sudah Mahir
"Kisah ini menjadi favorit para penyair Yunani Helenistik, seperti Apollonius dari Rhodes , Theocritus , dan Nicander, dan juga diceritakan oleh ahli elegi Latin, Propertius.",Berkembang Sedang
"Erigone, dalam mitologi Yunani, putriIcarius, pahlawan deme Attic (kotapraja) Icaria.",Berkembang Sedang
"Ayahnya, yang telah diajar oleh dewaDionysus untuk membuat anggur, memberikannya kepada beberapa penggembala, yang menjadi mabuk.",Sudah Mahir
"Teman-teman mereka, mengira mereka telah diracuni, membunuh Icarius dan menguburkannya di bawah pohon.",Berkembang Sedang
"Erigone, dipandu oleh anjingnya Maera, menemukan kuburannya dan gantung diri di pohon.",Berkembang Sedang
Maera melompat ke dalam sumur dan tenggelam.,Berkembang Sedang
"Dionysus mengirimkan wabah penyakit ke negeri itu, dan semua gadis Athena, karena kegilaan, gantung diri.",Sudah Mahir
"Icarius, Erigone, dan Maera ditempatkan di antara bintang-bintang sebagai Boötes (atau Arcturus), Virgo, dan Procyon (Canis Minor, Anjing Kecil) untuk menenangkan Icarius dan Erigone, festival itu disebut Aiora (Ayunan) dilembagakan.",Sudah Mahir
"Selama festival ini berbagai gambar kecil diayunkan dari pohon, dan persembahan buah-buahan dibuat.",Berkembang Sedang
"Teori Steady State berpendapat bahwa materi yang hilang melalui resesi galaksi-galaksi, karena pengembungan alam yang berlangsung terus menerus digantikan oleh materi yang baru saja tercipta sehingga alam semesta yang terlihat tetapberada dalam keadaan tidak berubah (stady state), artinya bahwa materi secara terus menerus tercipta diseluruh alam semesta.",Sudah Mahir
Teori ini sama sekali tidak menyebut peristiwa awal yang bersifat khusus pada waktu atau ruang.,Sudah Mahir
Tidak ada awal maupun akhir karena materi diperbarui secara terus menerus di satu tempat sementara di tempat lain dihancurkan.,Sudah Mahir
Teori Ekspansi dan Kontraksi berpendapat bahwa ada suatu siklus di jagat raya.,Sudah Mahir
Satu siklus mengalami satu masa ekspansi dan satu masa kontraksi.,Berkembang Sedang
Satu siklus diperkirakan berlangsung selama 30 milyar tahun.,Berkembang Sedang
Dalam masa ekspansi terbentuklah galaksi-galaksi serta bintang-bintang di dalamnya.,Berkembang Sedang
Ekspansi ini diakibatkan oleh adanya reaksi inti hidrogen yang pada akhirnya membentuk unsur-unsur lain yang kompleks.,Sudah Mahir
"Pada masa kontraksi, galaksi-galaksi dan bintang-bintang yang telah terbentuk meredup dan unsure-unsur yang telah terbentuk menyusut dengan mengeluarkan tenaga berupa panas yang sangat tinggi.",Sudah Mahir
Disebut juga teori mengembang dan memampat.,Berkembang Sedang
Keberadaan awal pada peristiwa besar ini melengkapi ketidaktahuan manusia tentang awal mula alam semesta dan merupakan bahan dari spekulasi sesungguhnya yang mempunyai dasar kuat.,Sudah Mahir
Teori Big-Bang mengasumsikan sekitar 15 milyar tahun lalu dimulai dari ledakan yang dahyat dan dilanjutkan dengan pengambangan alam semesta.,Sudah Mahir
"Point penting dari semua peristiwa ini adalah waktu, materi , energi dan ruang merupakan satu keterpaduan.",Berkembang Sedang
Kejadian ini bukan ledakan biasa tetapi cukup memenuhi semua peristiwa dari ruang dengan semua partikel yang menjadi embrio alam semesta yang mendesak keluar dari masing-masing yang lain.,Sudah Mahir
Telah dijelaskan sebelumnya Big bang adalah teori ilmu pengetahuan yang menjelaskan perkembangan dan bentuk awal dari alam semesta.,Sudah Mahir
"Ide sentral dari teori ini adalah bahwa teori relativitas umum dapat dikombinasikan dengan hasil pemantauan dalam skala besar pada pergerakan galaksi terhadap satu sama lain, dan meramalkan bahwa suatu saat alam semesta akan kembali atau terus.",Sudah Mahir
Konsekuensi alami dari Teori Big Bang yaitu pada masa lampau alam semesta punya suhu yang jauh lebih tinggi dan kerapatan yang jauh lebih tinggi.,Sudah Mahir
"Teori Big-Bang juga dikenal teori Super Dense, menyatakan bahwa jika alam semesta mengembang pada skala tertentu, maka ketika kita pergi kembali ke dalam waktu, kelompok-kelompok galaksi akan semakin mendekat dan tentu akan sampai pada suatu saat di mana semua materi, energi dan waktu yang membentuk alam semeseta terkonsentrasi pada suatu tempat dalam bentuk gumpalan yang sangat padat ( super dense agglomeration).",Sudah Mahir
"Dengan bekerja mundur , dari peringkat resesi galaksi-galaksi yang teramati, ditemukan bahwa galaksi-galaksi itu diduga telah berada berdekatan satu sama lain sekitar 12 milyar tahun yang lalu.",Sudah Mahir
"Dipostulasikan bahwa saat ini ledakan hebat menyebabkan alam semesta mengembang 1030 kali atau lebih dari ukuran aslinya, sebagai akibatnya gumpalan yang sangat padat dari materi dan energi berserakan menjadi banyak bagian yang semuanya berjalan dengan kecepatan berbeda-beda ke arah berbeda-beda pula.",Sudah Mahir
Hasil dari ledakan ini berkondensasi membentuk benda-benda langit seperti yang ada sekarang.,Sudah Mahir
Pengembangan alam-alam yang teramati ini merupakan kelanjutan dari proses ini.,Berkembang Sedang
Teori berkonsentrasi pada peristiwa spesifik sebagai „awal‟ alam semesta dan menampilkan suatu evolusi progresif sejak titik itu hingga sekarang.,Sudah Mahir
"Selama satu abad terakhir, serangkaian percobaan, pengamatan, dan perhitungan yang dilakukan dengan menggunakan teknologi mutakhir, telah mengungkapkan tanpa ragu bahwa alam semesta memiliki permulaan.",Sudah Mahir
Para ilmuwan telah memastikan bahwa alam semesta berada dalam keadaan yang terus mengembang.,Sudah Mahir
"Dan mereka telah menyimpulkan bahwa, karena alam semesta mengembang, jika alam ini dapat bergerak mundur dalam waktu, alam semesta ini tentulah memulai pengembangannya dari sebuah titik tunggal.",Sudah Mahir
"Sungguh, kesimpulan yang telah dicapai ilmu pengetahuan saat ini adalah alam semesta bermula dari ledakan titik tunggal ini.",Sudah Mahir
Ledakan ini disebut “Dentuman Besar” atau Big-bang.,Berkembang Sedang
"Pada awalnya, ilmuwan menganggap alam semesta kita sebagai entitas yang tetap dan tidak berubah.",Sudah Mahir
"Namun, pada awal abad ke-20, seorang astronom bernama Edwin Hubble melakukan pengamatan yang mengubah pemahaman kita tentang alam semesta.",Sudah Mahir
"Ia menemukan bahwa galaksi-galaksi di alam semesta sedang menjauh satu sama lain, yang menunjukkan bahwa alam semesta sedang mengalami ekspansi.",Sudah Mahir
"Pada intinya, Teori Big Bang menjelaskan bahwa alam semesta kita berasal dari suatu ledakan besar yang terjadi sekitar 13,8 miliar tahun yang lalu.",Sudah Mahir
"Pada saat itu, alam semesta berada dalam keadaan sangat padat dan panas.",Berkembang Sedang
"Namun, ketika ledakan besar terjadi, alam semesta mulai mengembang dengan cepat.",Berkembang Sedang
Proses ini dikenal sebagai ekspansi ruang.,Belum Berkembang
"Seiring dengan ekspansi tersebut, alam semesta juga mendingin dan mengembang lebih lanjut.",Berkembang Sedang
Salah satu bukti yang sangat kuat untuk mendukung Teori Big Bang adalah adanya radiasi latar belakang mikro.,Sudah Mahir
Radiasi ini merupakan sisa panas dari awal alam semesta yang masih tersebar di seluruh ruang kosmik.,Sudah Mahir
"Pada tahun 1965, para ilmuwan Arno Penzias dan Robert Wilson secara tidak sengaja menemukan radiasi ini.",Berkembang Sedang
Radiasi latar belakang mikro ini menjadi bukti yang meyakinkan bahwa alam semesta pada awalnya berada dalam keadaan panas dan padat.,Sudah Mahir
"Seiring berjalannya waktu, materi dan energi yang tersebar setelah Big Bang mulai berkumpul dan membentuk struktur kosmik yang lebih besar seperti galaksi, gugus galaksi, dan filamen kosmik.",Sudah Mahir
Gravitasi memainkan peran penting dalam proses ini.,Berkembang Sedang
Pembentukan struktur kosmik ini merupakan hasil dari efek gravitasi dan interaksi materi dalam alam semesta yang terus berkembang.,Sudah Mahir
Teori Big Bang memiliki implikasi yang sangat luas dalam pemahaman kita tentang alam semesta.,Sudah Mahir
Teori ini telah membantu kita memahami asal-usul dan evolusi alam semesta secara keseluruhan.,Berkembang Sedang
Konsep-konsep dalam teori ini juga berdampak pada pengembangan kosmologi dan fisika modern.,Berkembang Sedang
Penelitian lebih lanjut dalam memahami Big Bang dapat membawa kita menuju pemahaman yang lebih dalam tentang alam semesta dan misteri-misterinya.,Sudah Mahir
"Telah kami sebutkan sebelumnya bahwa berdasarkan perluasannya, para ilmuwan memperkirakan alam semesta berumur sekitar 15 miliar tahun.",Sudah Mahir
"Namun, kita tidak bisa melihat keseluruhan alam semesta, dan kita tidak tahu seberapa besarnya.",Berkembang Sedang
"Kita hanya dapat melihat sejauh jarak cahaya, dan saat ini kita tidak dapat melihat galaksi yang jaraknya lebih dari 15 miliar tahun cahaya karena galaksi tersebut belum memasuki cakrawala kita.",Sudah Mahir
"Pernahkah Anda menyaksikan matahari terbenam di pantai, dan memperhatikan bagaimana matahari tampak tenggelam begitu saja di bawah permukaan air.",Berkembang Sedang
"Namun, tahukah Anda bahwa alasan matahari tampak terbenam adalah karena saat Bumi berputar, matahari terbenam semakin rendah di langit karena jaraknya semakin jauh dari garis pandang kita.",Sudah Mahir
"Terakhir, matahari terbenam di cakrawala yang merupakan jarak terjauh yang bisa kita lihat akibat kelengkungan Bumi.",Sudah Mahir
Kita menggunakan istilah yang sama untuk merujuk pada alam semesta karena hanya sejauh 15 miliar tahun cahaya yang dapat kita lihat--cakrawala kita.,Sudah Mahir
"Kebanyakan orang setuju bahwa alam semesta bermula dari ukuran yang sangat kecil dan sangat padat serta mengalami inflasi awal yang berlangsung selama sepersekian detik yang tak terhingga, sehingga alam semesta berkembang jauh lebih cepat dari kecepatan cahaya dan Anda mengira tidak ada yang bisa bergerak lebih cepat dari kecepatan cahaya.",Sudah Mahir
"Namun alam semesta masih sangat panas, begitu panas sehingga atom biasa pun tidak mungkin ada.",Sudah Mahir
"Elektron menyebabkan paket cahaya yang sangat kecil yang disebut foton berhamburan terus menerus, dan jika Anda percaya, cahaya sebenarnya terhubung, atau digabungkan dengan partikel-partikel, menyebabkan seluruh alam semesta bersinar.",Sudah Mahir
"Ini adalah tahap yang oleh para ilmuwan disebut sebagai sup primordial karena alam semesta tampak seperti sup plasma yang terdiri dari proton, elektron, neutron, neutrino, foton, dan sebagainya.",Sudah Mahir
"Beberapa wilayah di alam semesta ini sangat padat, dan memiliki gravitasi yang cukup untuk mengatasi perluasan dan membentuk galaksi dan gugus galaksi.",Sudah Mahir
Itulah sebabnya kami berhati-hati dalam mengatakan bahwa galaksi-galaksi jauh dan gugus-gugus galaksi sedang mengembang dan saling menjauhi.,Sudah Mahir
"Misalnya, galaksi kita (dikenal sebagai Bima Sakti) sebenarnya merupakan bagian dari gugusan galaksi.",Belum Berkembang
"Dan tidak seperti galaksi jauh, galaksi-galaksi yang kita sebut kelompok lokal sebenarnya bergerak ke arah kita karena gravitasi.",Sudah Mahir
"Dirangkai dari total 7.398 eksposur yang diambil dari 411 titik teleskop, gambar tetangga galaksi besar terdekat kita, M31, adalah mosaik Hubble terbesar hingga saat ini.",Sudah Mahir
"1,5 miliar piksel dalam mosaik tersebut mengungkap lebih dari 100 juta bintang dan ribuan gugus bintang yang tertanam di bagian piringan M31 yang berbentuk pancake, yang juga dikenal sebagai galaksi Andromeda.",Sudah Mahir
"Meskipun galaksi ini berjarak lebih dari 2 juta tahun cahaya, Hubble cukup kuat untuk mendeteksi bintang-bintang individual dalam rentang piringan sepanjang 61.000 tahun cahaya.",Sudah Mahir
Ini seperti memotret pantai dan memecahkan butiran pasir satu per satu.,Berkembang Sedang
"Hubble menelusuri bintang-bintang padat yang memanjang dari pusat galaksi yang paling dalam, terlihat di kiri.",Sudah Mahir
"Beranjak dari tonjolan pusat galaksi ini, panoramanya menyapu jalur bintang dan debu hingga ke piringan luar yang lebih tipis.",Sudah Mahir
"Bintang yang lebih dingin dan berwarna kekuningan mendominasi pusat galaksi, di kiri bawah.",Sudah Mahir
Ciri biru seperti cincin yang membungkus dari kiri atas ke kanan bawah adalah lengan spiral dengan banyak gugusan bintang muda berwarna biru dan daerah pembentuk bintang.,Sudah Mahir
Siluet gelap menelusuri struktur debu yang rumit.,Berkembang Sedang
M31 terletak di konstelasi Andromeda dan paling baik diamati pada bulan November.,Berkembang Sedang
"Dengan magnitudo tampak sebesar 3,1, galaksi ini dapat dilihat dengan mata telanjang, bahkan di daerah dengan polusi cahaya sedang.",Belum Berkembang
"Karena fitur ini mudah diamati di langit malam, mustahil mengetahui siapa yang menemukan galaksi Andromeda.",Sudah Mahir
"Namun, The Book of Fixed Stars karya astronom Persia Abd al-rahman al-Sufi dari tahun 964 berisi laporan pertama yang diketahui tentang objek tersebut.",Sudah Mahir
"Meskipun beberapa lusin galaksi kecil terletak lebih dekat dengan Bima Sakti kita, galaksi Andromeda adalah galaksi spiral besar yang paling dekat dengan galaksi kita.",Sudah Mahir
"Tidak termasuk Awan Magellan Besar dan Kecil, yang terlihat dari Belahan Bumi Selatan, galaksi Andromeda adalah galaksi luar paling terang yang terlihat di langit malam kita.",Sudah Mahir
"Dan pada jarak 2,5 juta tahun cahaya, ini adalah jarak terjauh yang dapat dilihat manusia dengan mata telanjang.",Sudah Mahir
Kebanyakan objek Messier adalah gugus bintang atau awan gas di galaksi Bima Sakti kita.,Berkembang Sedang
"Namun galaksi Andromeda adalah galaksi yang terpisah, bahkan lebih besar dari Bima Sakti kita.",Sudah Mahir
"Di langit yang gelap, Anda dapat melihat bahwa ia juga besar di langit, noda cahaya di kejauhan yang lebih besar dari bulan purnama.",Sudah Mahir
"Dari garis lintang tengah utara, Anda dapat melihat Andromeda, M31 setidaknya sebagian dari setiap malam, sepanjang tahun.",Belum Berkembang
"Namun kebanyakan orang pertama kali melihat galaksi ini sekitar bulan Agustus atau September, ketika ketinggiannya cukup tinggi di langit untuk dilihat dari sore hingga fajar.",Sudah Mahir
"Pada awal September, mulailah mencari galaksi pada pertengahan malam, sekitar pertengahan antara malam dan tengah malam setempat.",Berkembang Sedang
"Pada akhir bulan September dan awal Oktober, galaksi Andromeda bersinar di langit timur Anda saat malam tiba, berayun tinggi di atas kepala pada tengah malam, dan berdiri agak tinggi di barat saat fajar menyingsing.",Berkembang Sedang
Malam musim dingin juga bagus untuk melihat galaksi Andromeda.,Berkembang Sedang
"Jika Anda jauh dari lampu kota, dan mengamati bintang pada malam tanpa bulan di akhir musim panas, atau pada malam musim gugur atau musim dingin, mungkin saja Anda hanya melihat galaksi di langit malam Anda.",Sudah Mahir
Rasi bintang Cassiopeia mudah ditemukan.,Belum Berkembang
"Secara umum, lihatlah kubah langit ke utara untuk mencari pola bintang yang berbentuk seperti huruf M atau W. Jika Anda dapat mengenali Bintang Utara, Polaris dan jika Anda tahu cara menemukan Biduk.",Sudah Mahir
"Ketahuilah bahwa Biduk dan Cassiopeia bergerak mengelilingi Polaris seperti jarum jam, selalu saling berhadapan.",Sudah Mahir
Fenomena gerhana adalah fenomena astronomi yang berkaitan dengan bayangan.,Berkembang Sedang
Gerhana terjadi saat sebuah objek bergerak lewat di depan objek lain atau objek tersebut masuk ke dalam bayangan objek diamati dari permukaan Bumi.,Berkembang Sedang
"Untuk dapat terjadi gerhana, ketiga objek harus berada dalam satu garis, atau dikenal dengan terminologi sygyzy, yang berarti “terhubung bersama” dalam bahasa Yunani.",Sudah Mahir
"Gerhana yang dikenal luas melibatkan Bumi, Bulan, dan Matahari.",Berkembang Sedang
Gerhana matahari terjadi saat Bulan tepat berada di antara Bumi dan Matahari sehingga bayangan bulan jatuh ke sebagian permukaan Bumi.,Sudah Mahir
"ayangan ini terbagi menjadi 3 bagian, yaitu umbra, penumbra, dan antumbra.",Berkembang Sedang
Umbra adalah bayangan bagian dalam yang lebih gelap sedangkan penumbra adalah bayangan bagian luar yang tidak segelap umbra.,Sudah Mahir
"Selain itu, antumbra adalah terusan dari umbra tetapi lebih terang.",Berkembang Sedang
Gerhana Matahari Total terjadi ketika piringan matahari tertutup seluruhnya oleh piringan bulan.,Sudah Mahir
"Seiring rotasi Bumi dan revolusi Bulan, bayangan umbra akan bergerak dari barat ke timur menghasilkan pita sempit di permukaan bumi yang dikenal dengan jalur totalitas.",Sudah Mahir
Fase totalitas akan terjadi selama beberapa menit saja sampai perlahan Matahari meninggalkan bayangan umbra dan gerhana berangsur selesai.,Berkembang Sedang
Hal ini membuat hanya bayangan penumbra yang jatuh sampai ke permukaan Bumi sehingga akan terjadi Gerhana Matahari Sebagian tanpa ada Gerhana Matahari Total.,Sudah Mahir
